t,bear,bull
1,0.4186788483514917,0.5813211516485083
2,0.36774774980094016,0.6322522501990598
3,0.32328819101620787,0.6767118089837921
4,0.2870251192923776,0.7129748807076224
5,0.2597822259380702,0.7402177740619298
6,0.24174377220474985,0.7582562277952501
7,0.23279251822010094,0.7672074817798991
8,0.23279251822010094,0.7672074817798991
9,0.24174377220474985,0.7582562277952501
10,0.2597822259380702,0.7402177740619298
11,0.2870251192923776,0.7129748807076224
12,0.32328819101620787,0.6767118089837921
13,0.36774774980094016,0.6322522501990598
14,0.4186788483514917,0.5813211516485083
15,0.4734235356996348,0.5265764643003652
16,0.5286756199787039,0.471324380021296
17,0.5810151250825487,0.4189848749174513
18,0.627481425345443,0.372518574654557
19,0.6659522250799392,0.33404777492006077
20,0.6952136877582473,0.3047863122417526
21,0.7147689295051306,0.2852310704948694
22,0.7245285911652205,0.2754714088347795
23,0.7245285911652205,0.2754714088347795
24,0.7147689295051306,0.2852310704948694
25,0.6952136877582474,0.30478631224175257
26,0.6659522250799392,0.33404777492006077
27,0.627481425345443,0.3725185746545569
28,0.5810151250825486,0.41898487491745134
29,0.5286756199787039,0.471324380021296
30,0.47342353569963525,0.5265764643003648
31,0.41867884835149194,0.5813211516485081
32,0.36774774980094027,0.6322522501990597
33,0.323288191016208,0.676711808983792
34,0.2870251192923776,0.7129748807076224
35,0.2597822259380703,0.7402177740619297
36,0.24174377220474985,0.7582562277952501
37,0.23279251822010094,0.7672074817798991
38,0.23279251822010094,0.7672074817798991
39,0.24174377220474985,0.7582562277952501
40,0.2597822259380702,0.7402177740619298
41,0.2870251192923774,0.7129748807076226
42,0.32328819101620776,0.6767118089837922
43,0.36774774980093994,0.6322522501990601
44,0.4186788483514914,0.5813211516485086
45,0.4734235356996348,0.5265764643003652
46,0.5286756199787038,0.4713243800212962
47,0.5810151250825487,0.4189848749174513
48,0.6274814253454429,0.37251857465455707
49,0.6659522250799391,0.3340477749200609
50,0.6952136877582474,0.30478631224175257
51,0.7147689295051306,0.2852310704948694
52,0.7245285911652205,0.2754714088347795
53,0.7245285911652205,0.2754714088347795
54,0.7147689295051307,0.2852310704948693
55,0.6952136877582473,0.3047863122417527
56,0.6659522250799392,0.33404777492006077
57,0.6274814253454432,0.37251857465455684
58,0.5810151250825485,0.4189848749174515
59,0.528675619978704,0.47132438002129595
60,0.47342353569963547,0.5265764643003645
61,0.41867884835149205,0.581321151648508
62,0.3677477498009405,0.6322522501990595
63,0.323288191016208,0.676711808983792
64,0.28702511929237784,0.7129748807076222
65,0.25978222593807043,0.7402177740619296
66,0.24174377220474996,0.75825622779525
67,0.23279251822010094,0.7672074817798991
68,0.23279251822010094,0.7672074817798991
69,0.24174377220474985,0.7582562277952501
70,0.2597822259380701,0.7402177740619299
71,0.2870251192923776,0.7129748807076224
72,0.32328819101620776,0.6767118089837922
73,0.3677477498009398,0.6322522501990602
74,0.4186788483514917,0.5813211516485083
75,0.4734235356996347,0.5265764643003653
76,0.5286756199787037,0.47132438002129623
77,0.5810151250825483,0.41898487491745173
78,0.6274814253454429,0.37251857465455707
79,0.6659522250799393,0.33404777492006066
80,0.6952136877582472,0.3047863122417528
81,0.7147689295051306,0.2852310704948694
82,0.7245285911652204,0.2754714088347796
83,0.7245285911652204,0.2754714088347796
84,0.7147689295051307,0.2852310704948693
85,0.6952136877582473,0.3047863122417526
86,0.6659522250799396,0.33404777492006044
87,0.6274814253454432,0.37251857465455684
88,0.5810151250825494,0.4189848749174506
89,0.5286756199787037,0.47132438002129634
90,0.47342353569963513,0.5265764643003649
91,0.4186788483514916,0.5813211516485084
92,0.3677477498009406,0.6322522501990594
93,0.323288191016208,0.676711808983792
94,0.2870251192923776,0.7129748807076224
95,0.2597822259380701,0.7402177740619299
96,0.24174377220474996,0.75825622779525
97,0.23279251822010105,0.767207481779899
98,0.23279251822010094,0.7672074817798991
99,0.24174377220474985,0.7582562277952501
100,0.2597822259380703,0.7402177740619297
101,0.2870251192923774,0.7129748807076226
102,0.32328819101620776,0.6767118089837922
103,0.3677477498009394,0.6322522501990606
104,0.41867884835149216,0.5813211516485078
105,0.4734235356996347,0.5265764643003653
106,0.5286756199787042,0.47132438002129584
107,0.5810151250825482,0.41898487491745184
108,0.6274814253454428,0.3725185746545572
109,0.6659522250799388,0.3340477749200612
110,0.6952136877582475,0.3047863122417524
111,0.7147689295051305,0.2852310704948695
112,0.7245285911652205,0.2754714088347795
113,0.7245285911652205,0.2754714088347795
114,0.7147689295051307,0.2852310704948693
115,0.6952136877582473,0.3047863122417526
116,0.665952225079939,0.334047774920061
117,0.6274814253454433,0.37251857465455673
118,0.5810151250825486,0.4189848749174514
119,0.5286756199787046,0.47132438002129534
120,0.47342353569963613,0.5265764643003639
121,0.4186788483514917,0.5813211516485083
122,0.3677477498009406,0.6322522501990594
123,0.3232881910162081,0.6767118089837919
124,0.2870251192923782,0.7129748807076218
125,0.25978222593807054,0.7402177740619295
126,0.24174377220474996,0.75825622779525
127,0.23279251822010094,0.7672074817798991
128,0.23279251822010094,0.7672074817798991
129,0.24174377220474985,0.7582562277952501
130,0.2597822259380699,0.7402177740619301
131,0.28702511929237784,0.7129748807076222
132,0.32328819101620765,0.6767118089837924
133,0.36774774980094016,0.6322522501990598
134,0.41867884835149116,0.5813211516485088
135,0.4734235356996346,0.5265764643003654
136,0.5286756199787042,0.4713243800212959
137,0.5810151250825489,0.41898487491745107
138,0.6274814253454428,0.3725185746545572
139,0.6659522250799393,0.33404777492006066
140,0.6952136877582471,0.30478631224175284
141,0.7147689295051305,0.2852310704948695
142,0.7245285911652205,0.2754714088347795
143,0.7245285911652204,0.2754714088347796
144,0.7147689295051307,0.2852310704948693
145,0.6952136877582479,0.3047863122417521
146,0.6659522250799397,0.3340477749200603
147,0.6274814253454433,0.37251857465455673
148,0.5810151250825487,0.4189848749174513
149,0.5286756199787047,0.4713243800212953
150,0.47342353569963525,0.5265764643003648
151,0.4186788483514927,0.5813211516485073
152,0.3677477498009407,0.6322522501990593
153,0.3232881910162074,0.6767118089837926
154,0.2870251192923782,0.7129748807076218
155,0.25978222593807054,0.7402177740619295
156,0.24174377220474996,0.75825622779525
157,0.23279251822010094,0.7672074817798991
158,0.23279251822010094,0.7672074817798991
159,0.24174377220474996,0.75825622779525
160,0.2597822259380699,0.7402177740619301
161,0.2870251192923773,0.7129748807076227
162,0.32328819101620754,0.6767118089837925
163,0.36774774980094005,0.63225225019906
